t(s),vx(m/s),vy(m/s),vz(m/s),r(deg),p(deg),y(deg),lat(deg),lon(deg),alt(m),heading(deg),b(V),b(A),b(%)
10.037974834442139,2.63,0.21,-0.2,-4.265080037589551,-4.76134962985163,33.941122438760964,47.397756,8.5456603,7.684,33.941122438760964,11.922,-1.0,87
10.239415407180786,2.75,0.19,-0.2,-1.2046724804268834,-1.9906979071879438,25.296771845943002,47.3977606,8.5456608,7.719,25.296771845943002,11.916,-1.0,86
10.439939498901367,2.76,0.18,-0.19,0.6794467814262113,1.616561808960919,18.02137728545048,47.3977648,8.5456611,7.748,18.02137728545048,11.911,-1.0,86
10.640505075454712,2.61,0.18,-0.19,2.2092413356267264,6.724293917120873,11.36747273659482,47.3977697,8.5456614,7.779,11.36747273659482,11.905,-1.0,86
10.841300249099731,2.3,0.21,-0.18,3.5023284804253088,11.647274851038977,8.162385977998827,47.3977743,8.5456617,7.808,8.162385977998827,11.9,-1.0,85
11.041847705841064,1.86,0.22,-0.16,0.06928340455809288,14.37610191032009,6.390949949772986,47.3977783,8.545662,7.838,6.390949949772986,11.894,-1.0,85
11.242551803588867,1.4,0.06,-0.14,-6.497505169693416,14.959302735243506,3.229117285086802,47.3977816,8.5456622,7.863,3.229117285086802,11.889,-1.0,85
11.44301986694336,0.92,-0.3,-0.12,-12.991329721197841,14.013834653158138,357.58525214606937,47.3977842,8.5456616,7.887,357.58525214606937,11.883,-1.0,84
11.643483638763428,0.51,-0.8,-0.09,-18.83332456077221,8.779151206277332,350.1732634071301,47.3977859,8.5456601,7.904,350.1732634071301,11.878,-1.0,84
11.843951225280762,0.19,-1.46,-0.06,-19.80256938513204,1.2972023337735155,341.55570081623694,47.3977871,8.5456572,7.917,341.55570081623694,11.872,-1.0,84
12.04498291015625,0.03,-2.04,-0.03,-14.747373918129059,-3.894104289235832,331.3531279416452,47.3977878,8.5456527,7.924,331.3531279416452,11.867,-1.0,83
12.245446681976318,-0.01,-2.46,-0.05,-7.91406164411832,-4.930877486372285,320.1992582722851,47.3977882,8.545647,7.931,320.1992582722851,11.861,-1.0,83
12.446292161941528,-0.03,-2.68,-0.05,-4.005140540138614,-3.535055331833425,310.3026351838276,47.3977885,8.5456405,7.939,310.3026351838276,11.856,-1.0,83
12.646775007247925,-0.03,-2.78,-0.05,-1.0057498375960203,-1.0809824503130068,301.550499083265,47.3977886,8.545634,7.946,301.550499083265,11.85,-1.0,82
12.847867965698242,-0.03,-2.75,-0.05,1.2788685052156146,2.921766883285868,292.8022835112859,47.3977887,8.5456269,7.955,292.8022835112859,11.845,-1.0,82
13.048935651779175,-0.02,-2.56,-0.05,2.420842090217602,7.849177408324137,284.6796244748208,47.3977887,8.5456198,7.965,284.6796244748208,11.839,-1.0,82
13.249432802200317,-0.01,-2.21,-0.04,1.3331745922544453,12.359511609762274,276.8885642923707,47.3977887,8.5456134,7.974,276.8885642923707,11.834,-1.0,81
13.449923753738403,-0.09,-1.79,-0.04,-4.842800489477678,13.193487098930941,269.8220983883997,47.3977886,8.5456078,7.982,269.8220983883997,11.828,-1.0,81
13.650481462478638,-0.37,-1.37,-0.03,-11.916993898720904,11.879514089424104,262.3827519670702,47.3977882,8.5456032,7.991,262.3827519670702,11.823,-1.0,81
13.850945234298706,-0.83,-0.95,-0.03,-18.200186515279537,8.875365519794363,254.50485958970165,47.3977872,8.5455997,7.997,254.50485958970165,11.817,-1.0,80
14.05140995979309,-1.43,-0.53,-0.01,-21.26942251883127,4.535264818795508,246.110919099782,47.3977852,8.5455972,8.001,246.110919099782,11.812,-1.0,80
14.251877307891846,-1.97,-0.18,0.0,-16.23380408153684,0.35366943637908166,237.01941138992893,47.3977823,8.5455958,8.0,237.01941138992893,11.806,-1.0,80
14.452514171600342,-2.31,0.01,0.0,-8.985900178679971,-1.932684414811971,227.29527106858177,47.3977787,8.5455952,8.001,227.29527106858177,11.801,-1.0,79
14.653039932250977,-2.49,0.07,-0.01,-3.220277526196925,-2.7609349247956967,217.7192365691972,47.3977746,8.5455951,8.004,217.7192365691972,11.795,-1.0,79
14.854044675827026,-2.56,0.06,-0.01,0.07131359157749323,-1.2134192847110252,209.03205556764138,47.3977707,8.5455952,8.006,209.03205556764138,11.79,-1.0,79
15.05469274520874,-2.52,0.03,-0.01,1.9614760100411022,2.754536531647276,200.23616527525562,47.3977662,8.5455954,8.008,200.23616527525562,11.784,-1.0,78
15.255424976348877,-2.32,0.01,-0.02,3.0081423093034956,7.9914425647726866,191.78071893186,47.3977618,8.5455958,8.01,191.78071893186,11.779,-1.0,78
15.456614971160889,-1.98,-0.02,-0.02,3.3284621731212263,13.505739442121829,185.64123947185396,47.397758,8.5455961,8.013,185.64123947185396,11.773,-1.0,78
15.657079219818115,-1.48,-0.06,0.0,2.390505591575579,14.689798838520437,182.7074000157667,47.3977547,8.5455965,8.014,182.7074000157667,11.768,-1.0,77
15.857752561569214,-1.04,-0.07,0.0,1.756022745868355,11.91786474784008,182.24363017112282,47.3977521,8.5455968,8.011,182.24363017112282,11.762,-1.0,77
16.05841636657715,-0.72,-0.08,0.0,1.6002524911616922,8.824787115216772,183.27041250905083,47.3977502,8.5455971,8.008,183.27041250905083,11.757,-1.0,77
16.259528398513794,-0.5,-0.08,-0.01,1.5442063067100946,6.0239083903811945,184.62810385188763,47.3977487,8.5455974,8.006,184.62810385188763,11.751,-1.0,76
16.460619688034058,-0.36,-0.09,-0.01,1.5260255170782844,3.8004602612808416,185.67814981412872,47.3977477,8.5455976,8.007,185.67814981412872,11.746,-1.0,76
16.660993337631226,-0.28,-0.1,-0.01,1.8625503248669877,2.4852943165467813,186.19888343645047,47.397747,8.5455977,8.008,186.19888343645047,11.74,-1.0,76
16.86139225959778,-0.22,-0.13,-0.01,1.5702872773340826,1.6376772320583075,186.261174761681,47.3977465,8.5455978,8.01,186.261174761681,11.735,-1.0,75
17.061951160430908,-0.18,-0.15,-0.01,1.3128743095458155,1.116266994121881,186.09760539143753,47.3977462,8.5455977,8.01,186.09760539143753,11.729,-1.0,75
17.263150691986084,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
17.463642597198486,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
17.664106607437134,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
17.86456799507141,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
18.06500244140625,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
18.265467166900635,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
18.46593141555786,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
18.666494607925415,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
18.86696219444275,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
19.06751322746277,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
19.26805591583252,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
19.468523025512695,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
19.668986797332764,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
19.869990587234497,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
20.070324897766113,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
20.271394729614258,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
